Region,Province,Date,Death
North,AC,2020-02-25,0
North,AC,2020-02-26,0
North,AC,2020-02-27,0
North,AC,2020-02-28,0
North,AC,2020-02-29,0
North,AC,2020-03-01,0
North,AC,2020-03-02,0
North,AC,2020-03-03,0
North,AC,2020-03-04,0
North,AC,2020-03-05,0
North,AC,2020-03-06,0
North,AC,2020-03-07,0
North,AC,2020-03-08,0
North,AC,2020-03-09,0
North,AC,2020-03-10,0
North,AC,2020-03-11,0
North,AC,2020-03-12,0
North,AC,2020-03-13,0
North,AC,2020-03-14,0
North,AC,2020-03-15,0
North,AC,2020-03-16,0
North,AC,2020-03-17,0
North,AC,2020-03-18,0
North,AC,2020-03-19,0
North,AC,2020-03-20,0
North,AC,2020-03-21,0
North,AC,2020-03-22,0
North,AC,2020-03-23,0
North,AC,2020-03-24,0
North,AC,2020-03-25,0
North,AC,2020-03-26,0
North,AC,2020-03-27,0
North,AC,2020-03-28,0
North,AC,2020-03-29,0
North,AC,2020-03-30,0
North,AC,2020-03-31,0
North,AC,2020-04-01,0
North,AC,2020-04-02,0
North,AC,2020-04-03,0
Northeast,AL,2020-02-25,0
Northeast,AL,2020-02-26,0
Northeast,AL,2020-02-27,0
Northeast,AL,2020-02-28,0
Northeast,AL,2020-02-29,0
Northeast,AL,2020-03-01,0
Northeast,AL,2020-03-02,0
Northeast,AL,2020-03-03,0
Northeast,AL,2020-03-04,0
Northeast,AL,2020-03-05,0
Northeast,AL,2020-03-06,0
Northeast,AL,2020-03-07,0
Northeast,AL,2020-03-08,0
Northeast,AL,2020-03-09,0
Northeast,AL,2020-03-10,0
Northeast,AL,2020-03-11,0
Northeast,AL,2020-03-12,0
Northeast,AL,2020-03-13,0
Northeast,AL,2020-03-14,0
Northeast,AL,2020-03-15,0
Northeast,AL,2020-03-16,0
Northeast,AL,2020-03-17,0
Northeast,AL,2020-03-18,0
Northeast,AL,2020-03-19,0
Northeast,AL,2020-03-20,0
Northeast,AL,2020-03-21,0
Northeast,AL,2020-03-22,0
Northeast,AL,2020-03-23,0
Northeast,AL,2020-03-24,0
Northeast,AL,2020-03-25,0
Northeast,AL,2020-03-26,0
Northeast,AL,2020-03-27,0
Northeast,AL,2020-03-28,0
Northeast,AL,2020-03-29,0
Northeast,AL,2020-03-30,0
Northeast,AL,2020-03-31,1
Northeast,AL,2020-04-01,1
Northeast,AL,2020-04-02,1
Northeast,AL,2020-04-03,2
North,AM,2020-02-25,0
North,AM,2020-02-26,0
North,AM,2020-02-27,0
North,AM,2020-02-28,0
North,AM,2020-02-29,0
North,AM,2020-03-01,0
North,AM,2020-03-02,0
North,AM,2020-03-03,0
North,AM,2020-03-04,0
North,AM,2020-03-05,0
North,AM,2020-03-06,0
North,AM,2020-03-07,0
North,AM,2020-03-08,0
North,AM,2020-03-09,0
North,AM,2020-03-10,0
North,AM,2020-03-11,0
North,AM,2020-03-12,0
North,AM,2020-03-13,0
North,AM,2020-03-14,0
North,AM,2020-03-15,0
North,AM,2020-03-16,0
North,AM,2020-03-17,0
North,AM,2020-03-18,0
North,AM,2020-03-19,0
North,AM,2020-03-20,0
North,AM,2020-03-21,0
North,AM,2020-03-22,0
North,AM,2020-03-23,0
North,AM,2020-03-24,1
North,AM,2020-03-25,1
North,AM,2020-03-26,1
North,AM,2020-03-27,1
North,AM,2020-03-28,1
North,AM,2020-03-29,1
North,AM,2020-03-30,1
North,AM,2020-03-31,3
North,AM,2020-04-01,3
North,AM,2020-04-02,5
North,AM,2020-04-03,12
North,AP,2020-02-25,0
North,AP,2020-02-26,0
North,AP,2020-02-27,0
North,AP,2020-02-28,0
North,AP,2020-02-29,0
North,AP,2020-03-01,0
North,AP,2020-03-02,0
North,AP,2020-03-03,0
North,AP,2020-03-04,0
North,AP,2020-03-05,0
North,AP,2020-03-06,0
North,AP,2020-03-07,0
North,AP,2020-03-08,0
North,AP,2020-03-09,0
North,AP,2020-03-10,0
North,AP,2020-03-11,0
North,AP,2020-03-12,0
North,AP,2020-03-13,0
North,AP,2020-03-14,0
North,AP,2020-03-15,0
North,AP,2020-03-16,0
